,Unnamed: 0,Unnamed: 0.1,title,MFCCs,views,rating
27,27.0,27.0,You're Not The One (I Was Looking For),"[[-523.94864995 -523.94864995 -523.94864995 ... -523.94864995
  -523.94864995 -523.94864995]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",127870,4.9261084
28,28.0,28.0,(Then Came The) Last Of May,"[[-559.91209684 -559.91209684 -559.91209684 ... -553.77171094
  -559.91209684 -559.91209684]
 [   0.            0.            0.         ...    8.61226611
     0.            0.        ]
 [   0.            0.            0.         ...    8.39939634
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    2.85532311
     0.            0.        ]
 [   0.            0.            0.         ...    1.92931131
     0.            0.        ]
 [   0.            0.            0.         ...    1.0155002
     0.            0.        ]]",2064350,4.941200299999998
29,29.0,29.0,M.E. 262,"[[-581.65894388 -581.65894388 -581.65894388 ... -524.69563685
  -546.75146588 -573.9365125 ]
 [   0.            0.            0.         ...   65.07334963
    45.66131662   10.86494823]
 [   0.            0.            0.         ...   38.45437683
    36.49565446   10.69795521]
 ...
 [   0.            0.            0.         ...   10.33816866
     7.30298928    6.50221828]
 [   0.            0.            0.         ...   11.72547474
     7.25026801    5.8339308 ]
 [   0.            0.            0.         ...    9.1507585
     6.66805068    5.18486559]]",335550,4.9460807
30,30.0,30.0,Buck's Boogie,"[[-564.53076675 -564.53076675 -564.53076675 ... -564.53076675
  -564.53076675 -564.53076675]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]
 [   0.            0.            0.         ...    0.
     0.            0.        ]]",58391,4.917293099999998
31,31.0,31.0,The Subhuman,"[[-585.41470763 -585.41470763 -585.41470763 ... -351.61751792
  -368.41928122 -408.07830376]
 [   0.            0.            0.         ...  113.27306333
   114.23852562  109.8768032 ]
 [   0.            0.            0.         ...  -51.35651957
   -46.84961939  -35.72019903]
 ...
 [   0.            0.            0.         ...   13.48579308
    14.31085301   10.0266263 ]
 [   0.            0.            0.         ...   -5.41867335
    -7.24667957   -8.17932604]
 [   0.            0.            0.         ...    5.3355535
     8.94802716    6.79338074]]",241401,4.9288645
32,32.0,32.0,I'm On The Lamb But I Ain't No Sheep,"[[-5.25613935e+02 -5.25613935e+02 -5.25613935e+02 ... -5.22154699e+02
  -5.23325328e+02 -5.24410224e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.62052305e+00
   3.02431113e+00  1.53197392e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.91395986e+00
   2.45499758e+00  1.07588804e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.88301845e+00
   1.92534597e+00  8.83940385e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.54602911e+00
   1.79027611e+00  8.12459348e-01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.87786610e+00
   1.28495005e+00  4.32390251e-01]]",223360,4.9100685
33,33.0,33.0,Transmaniacon MC,"[[-5.18785593e+02 -5.18785593e+02 -5.18785593e+02 ... -5.00938863e+02
  -5.02484750e+02 -5.07155333e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.68372946e+01
   1.83922215e+01  1.57213416e+01]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.71049087e+00
   1.37804353e+01  1.39459857e+01]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.96441215e+00
   4.08317130e+00  3.18078756e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.60073899e+00
   3.72781169e+00  2.69413754e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.53340505e-01
   1.91561106e+00  1.90518805e+00]]",378580,4.9349113
34,34.0,34.0,Teen Archer,"[[-5.92650861e+02 -5.92650861e+02 -5.92650861e+02 ... -4.90300349e+02
  -5.35627908e+02 -5.88388517e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.99990653e+01
   3.85094778e+01  5.46362821e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.95158680e+01
  -2.94820292e+00  5.05663705e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.03209303e+00
   8.54561685e+00  4.34923376e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.25182505e-02
   3.17056183e+00  4.50988935e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.12881319e+00
  -9.67843325e-01  3.61349216e+00]]",138230,4.9245281
35,35.0,35.0,This Ain't The Summer Of Love,"[[-5.59812942e+02 -5.59812942e+02 -5.59812942e+02 ... -5.55734758e+02
  -5.59395475e+02 -5.59812942e+02]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.75321195e+00
   5.88984297e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.71069673e+00
   5.84788260e-01  0.00000000e+00]
 ...
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.44263390e+00
   4.61238737e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.18817365e+00
   4.36853762e-01  0.00000000e+00]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.91847221e+00
   4.11173479e-01  0.00000000e+00]]",293766,4.9384613
36,36.0,36.0,Tattoo Vampire,"[[-543.40184093 -543.40184093 -543.40184093 ... -540.53798471
  -543.40184093 -543.40184093]
 [   0.            0.            0.         ...    3.75288905
     0.            0.        ]
 [   0.            0.            0.         ...    3.01053196
     0.            0.        ]
 ...
 [   0.            0.            0.         ...    2.83726476
     0.            0.        ]
 [   0.            0.            0.         ...    1.91797005
     0.            0.        ]
 [   0.            0.            0.         ...    1.11117653
     0.            0.        ]]",232449,4.9088969
